review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,Cluster
24,Zachary Hicks,25,OnePlus,OnePlus Nord 3,395.08,CAD,1.38,4.0,Positive,Canada,English,3/12/2023,False,4,4,3,3,3,10,Amazon,1
25,Shannon Hernandez,27,Apple,iPhone 15 Pro,997.61,USD,1.0,3.0,Positive,USA,English,6/27/2023,True,2,4,3,3,4,2,eBay,0
26,Prof. Anne Krause,27,Google,Pixel 8,506.5,EUR,0.93,2.0,Negative,Germany,German,6/5/2024,False,1,3,3,1,1,3,AliExpress,2
27,Julie King,29,Motorola,Razr 40,673.77,CAD,1.38,3.0,Positive,Canada,English,2/27/2025,False,1,4,2,3,3,2,BestBuy,0
28,Alexandra Le,25,Xiaomi,Poco X6,236.38,AED,3.67,3.0,Negative,UAE,English,9/15/2025,True,3,1,1,2,2,4,BestBuy,2
29,Nicole Mack,29,Apple,iPhone 13,1094.1,CAD,1.38,3.0,Positive,Canada,English,4/2/2024,True,4,3,3,3,1,3,Amazon,0
30,Chaaya Saran,30,Samsung,Galaxy S24,1369.88,INR,83.0,3.0,Positive,India,Hindi,6/24/2023,True,3,3,3,5,3,5,BestBuy,0
31,Troy Liu,39,Realme,Realme Narzo 70,298.0,CAD,1.38,1.0,Negative,Canada,English,12/5/2023,True,1,1,1,1,2,0,AliExpress,2
32,Pamela Romero,33,Google,Pixel 7a,1084.64,CAD,1.38,1.0,Negative,Canada,English,4/5/2023,True,2,1,1,1,1,5,Amazon,2
33,Elizabeth Fowler,25,Realme,Realme Narzo 70,571.75,AUD,1.53,2.0,Positive,Australia,English,5/25/2025,True,1,3,1,3,1,0,Amazon,2
34,Michael Prakash,45,Realme,Realme 12 Pro,543.18,INR,83.0,1.0,Negative,India,Hindi,6/29/2023,False,1,1,1,1,1,3,Amazon,2
35,Paula Moreno,45,Samsung,Galaxy A55,1071.57,CAD,1.38,4.0,Positive,Canada,English,10/22/2022,True,4,5,5,4,2,4,Flipkart,1
36,Katherine Rodriguez,40,OnePlus,OnePlus Nord 3,438.64,CAD,1.38,4.0,Positive,Canada,English,5/7/2024,False,2,2,1,3,4,8,AliExpress,0
37,Wriddhish Bhardwaj,34,Apple,iPhone 14,906.6,INR,83.0,4.0,Positive,India,Hindi,10/31/2023,True,5,2,3,3,2,5,eBay,0
38,Anna Liz Barros,21,Xiaomi,Redmi Note 13,220.43,BRL,5.7,4.0,Positive,Brazil,Portuguese,11/14/2024,True,3,2,3,4,1,4,eBay,0
39,Raimund Reichmann,27,OnePlus,OnePlus Nord 3,917.83,EUR,0.93,1.0,Negative,Germany,German,5/5/2023,True,1,1,1,1,1,2,BestBuy,2
40,Vaishnavi Gandhi,38,Samsung,Galaxy S24,1147.47,INR,83.0,2.0,Positive,India,Hindi,12/7/2023,True,1,2,2,1,2,4,eBay,2
41,Leon Davison,19,Google,Pixel 6,512.04,GBP,0.78,3.0,Positive,UK,English,9/16/2023,False,4,3,2,4,3,5,Amazon,0
42,Nicole Vaughn,18,Google,Pixel 8,887.55,CAD,1.38,2.0,Neutral,Canada,English,2/18/2024,False,2,1,1,1,1,2,AliExpress,2
43,Michael Brooks,29,Samsung,Galaxy S24,924.51,USD,1.0,4.0,Positive,USA,English,1/3/2025,False,4,4,3,3,4,5,Flipkart,1
44,David Brown,25,Realme,Realme Narzo 70,358.68,CAD,1.38,4.0,Positive,Canada,English,11/23/2022,True,3,2,4,2,4,3,BestBuy,0
45,Crystal Robinson,37,Xiaomi,Mi 13 Pro,637.585,USD,1.0,4.0,Positive,USA,English,2/9/2023,True,5,4,3,5,2,7,AliExpress,1
46,Amy Jones,28,Apple,iPhone 14,1292.9,CAD,1.38,2.0,Neutral,Canada,English,12/9/2022,True,2,1,2,1,1,3,BestBuy,2
47,Andrea Young,43,Apple,iPhone 13,1401.76,AUD,1.53,4.0,Positive,Australia,English,8/26/2025,True,3,1,5,3,2,8,AliExpress,0
48,Tanish Zacharia,36,Realme,Realme Narzo 70,238.49,INR,83.0,3.0,Neutral,India,Hindi,5/15/2023,False,5,3,3,2,2,2,Amazon,0
49,Sonya Johnston,38,Samsung,Galaxy Note 20,969.89,USD,1.0,2.0,Neutral,USA,English,11/3/2023,True,3,1,1,1,2,3,BestBuy,2
50,Rhonda Lee,31,OnePlus,OnePlus 11R,574.7,CAD,1.38,5.0,Positive,Canada,English,3/21/2023,True,5,4,2,5,5,4,BestBuy,1
51,Ing. Hildegart Langern,34,Google,Pixel 7a,917.99,EUR,0.93,1.0,Negative,Germany,German,10/16/2024,True,2,2,2,1,1,2,BestBuy,2
52,Amy Valdez,55,Apple,iPhone 14,637.585,AUD,1.53,1.0,Negative,Australia,English,7/21/2025,True,1,1,1,2,1,0,eBay,2
53,Bento Guerra,30,Google,Pixel 6,700.1,BRL,5.7,5.0,Positive,Brazil,Portuguese,4/1/2024,True,3,3,4,5,4,3,Flipkart,1
54,Ashley Lee,48,Google,Pixel 8,1048.91,AUD,1.53,3.0,Positive,Australia,English,2/1/2025,True,4,2,1,5,3,4,eBay,0
55,Logan Sami,18,OnePlus,OnePlus Nord 3,473.95,INR,83.0,5.0,Positive,India,Hindi,8/3/2023,True,5,2,2,3,3,6,eBay,1
56,Ravi da Cruz,39,OnePlus,OnePlus 11R,366.5,BRL,5.7,4.0,Positive,Brazil,Portuguese,2/16/2023,False,5,4,2,3,4,3,Flipkart,1
57,Henry Gibson,41,Motorola,Edge 50,633.36,GBP,0.78,1.0,Negative,UK,English,7/31/2025,True,1,1,1,1,1,3,BestBuy,2
58,Dr. Tracy House DVM,18,Motorola,Moto G Power,355.65,CAD,1.38,3.0,Positive,Canada,English,7/7/2023,True,3,1,4,1,4,8,Amazon,0
59,John Hancock,36,Xiaomi,Redmi Note 13,211.23,AED,3.67,5.0,Positive,UAE,English,1/21/2023,False,4,4,3,5,3,4,eBay,1
60,Aaron Myers,32,OnePlus,OnePlus Nord 3,438.98,CAD,1.38,2.0,Negative,Canada,English,9/27/2024,True,2,3,3,1,1,1,eBay,2
61,Michael Cross,22,OnePlus,OnePlus Nord 3,458.08,USD,1.0,3.0,Neutral,USA,English,3/3/2025,True,2,1,2,1,2,4,eBay,2
62,Mohammed Gupta,36,Realme,Realme Narzo 70,270.27,INR,83.0,5.0,Positive,India,Hindi,1/25/2024,True,3,4,4,3,5,2,BestBuy,1
63,Benjamin Pacheco,48,Apple,iPhone 14,1282.55,BRL,5.7,3.0,Positive,Brazil,Portuguese,2/10/2025,True,3,2,3,3,3,3,AliExpress,0
64,Erik Williams,31,Apple,iPhone 15 Pro,1460.19,CAD,1.38,3.0,Positive,Canada,English,10/31/2024,True,1,3,3,3,4,7,Amazon,0
65,Sarah Moore,18,Google,Pixel 6,923.35,CAD,1.38,2.0,Negative,Canada,English,12/18/2024,True,1,3,1,2,2,2,BestBuy,2
66,Cody Larson,19,Google,Pixel 7a,857.76,USD,1.0,4.0,Positive,USA,English,9/4/2025,True,5,3,4,4,2,6,BestBuy,1
67,Dipl.-Ing. Bruno Roskoth B.A.,40,Xiaomi,Poco X6,635.05,EUR,0.93,4.0,Positive,Germany,German,4/8/2025,True,3,5,5,3,3,4,eBay,1
68,Lorenzo Butte,18,Realme,Realme 12 Pro,300.64,EUR,0.93,5.0,Positive,Germany,German,8/3/2024,True,3,3,5,4,4,8,Flipkart,1
69,Krystal Stewart,24,Xiaomi,Poco X6,503.87,AUD,1.53,3.0,Positive,Australia,English,12/1/2023,True,2,2,2,4,4,4,Flipkart,0
70,Hollie Edwards,21,Google,Pixel 7a,822.18,GBP,0.78,3.0,Positive,UK,English,10/27/2023,True,2,1,2,2,3,1,AliExpress,2
71,Carlos Brewer,20,OnePlus,OnePlus 12,615.49,CAD,1.38,5.0,Positive,Canada,English,10/1/2024,False,4,4,5,3,1,10,Flipkart,1
72,Paul Jones,40,Apple,iPhone 14,1266.69,CAD,1.38,1.0,Negative,Canada,English,10/2/2024,True,2,2,1,1,1,2,eBay,2
73,Kristine Garcia,30,Samsung,Galaxy Z Flip,1217.97,AED,3.67,1.0,Negative,UAE,English,2/3/2025,True,1,1,1,1,1,2,Amazon,2
74,Thiago da Luz,29,Motorola,Edge 50,656.62,BRL,5.7,3.0,Positive,Brazil,Portuguese,5/15/2023,False,3,3,3,2,3,4,AliExpress,0
75,Shirley Suarez,24,Xiaomi,Redmi Note 13,510.46,CAD,1.38,4.0,Positive,Canada,English,5/18/2024,True,3,1,4,5,2,6,eBay,0
76,Jeffrey Daniels,18,Realme,Realme Narzo 70,214.6,AED,3.67,2.0,Neutral,UAE,English,2/3/2024,False,2,2,1,3,1,1,eBay,2
77,Victoria Valdez,33,Motorola,Razr 40,790.39,AED,3.67,4.0,Positive,UAE,English,11/3/2022,True,2,5,3,5,4,5,Flipkart,1
78,Valentina Spieß,29,Motorola,Razr 40,752.51,EUR,0.93,3.0,Neutral,Germany,German,3/31/2023,True,4,2,4,2,1,0,BestBuy,0
79,Franco Drub-Döring,39,Xiaomi,Redmi Note 13,490.99,EUR,0.93,3.0,Positive,Germany,German,2/27/2025,True,2,2,2,2,5,4,AliExpress,0
80,Abigail Bird,29,Apple,iPhone 13,1084.41,GBP,0.78,4.0,Positive,UK,English,9/14/2023,True,2,5,4,3,4,3,Flipkart,1
81,Sra. Gabrielly Rodrigues,27,Apple,iPhone 15 Pro,726.56,BRL,5.7,3.0,Positive,Brazil,Portuguese,7/3/2025,True,4,3,2,3,4,2,Flipkart,0
82,Thiago Mendonça,33,Motorola,Moto G Power,524.78,BRL,5.7,3.0,Neutral,Brazil,Portuguese,11/16/2023,True,3,2,4,3,3,3,AliExpress,0
83,George Sampath,24,Xiaomi,Mi 13 Pro,565.79,INR,83.0,3.0,Positive,India,Hindi,12/25/2023,True,3,4,5,2,2,5,eBay,0
84,Gavin Anderson,40,Google,Pixel 6,518.39,CAD,1.38,5.0,Positive,Canada,English,12/2/2023,True,4,5,5,3,4,5,eBay,1
85,Jeremy Thornton,24,Apple,iPhone 15 Pro,1280.21,AUD,1.53,3.0,Positive,Australia,English,3/11/2025,False,3,3,3,1,4,4,Flipkart,0
86,Isaac Borra,29,Google,Pixel 6,1082.84,INR,83.0,5.0,Positive,India,Hindi,9/29/2025,True,5,5,4,5,2,5,eBay,1
87,Teresa Fowler,33,Samsung,Galaxy Z Flip,1056.74,GBP,0.78,4.0,Positive,UK,English,5/17/2024,True,3,4,4,2,4,5,Flipkart,1
88,Brittany Anderson,26,Xiaomi,Mi 13 Pro,637.585,AUD,1.53,3.0,Neutral,Australia,English,2/12/2024,True,4,2,2,3,2,1,eBay,0
89,Timothy Stanton,30,OnePlus,OnePlus 12,525.34,AED,3.67,5.0,Positive,UAE,English,12/22/2022,False,5,4,5,3,5,5,BestBuy,1
90,Shivansh Krish,36,Samsung,Galaxy S24,707.93,INR,83.0,3.0,Neutral,India,Hindi,8/23/2025,True,1,2,4,2,3,5,Amazon,0
91,Richard Henson,41,Google,Pixel 8,1021.34,CAD,1.38,3.0,Neutral,Canada,English,7/14/2024,True,3,1,4,1,3,1,AliExpress,0
92,Vincenzo Hellwig-Fröhlich,33,Samsung,Galaxy Z Flip,1377.17,EUR,0.93,3.0,Positive,Germany,German,7/24/2023,True,3,4,3,2,3,7,Amazon,0
93,Frau Cindy Walter,18,Motorola,Edge 50,637.585,EUR,0.93,3.0,Positive,Germany,German,3/21/2024,False,4,2,2,1,2,3,AliExpress,0
94,Isadora da Mata,39,Realme,Realme Narzo 70,440.19,BRL,5.7,3.0,Positive,Brazil,Portuguese,6/26/2023,True,2,1,5,1,1,7,Flipkart,0
95,Ashley Brennan,32,Apple,iPhone SE,856.62,USD,1.0,5.0,Positive,USA,English,10/22/2024,True,5,4,4,4,3,6,eBay,1
96,Robert Stevens,28,Realme,Realme Narzo 70,294.5,USD,1.0,4.0,Positive,USA,English,2/8/2024,True,3,3,4,5,4,5,eBay,1
97,Shelby Walker,31,Motorola,Moto G Power,530.14,USD,1.0,4.0,Positive,USA,English,8/12/2025,True,5,4,3,4,4,6,eBay,1
98,Murilo Farias,23,Realme,Realme 12 Pro,525.5,BRL,5.7,3.0,Positive,Brazil,Portuguese,12/28/2023,True,3,2,5,1,3,4,AliExpress,0
99,Tracy Ramirez,32,Motorola,Moto G Power,585.18,AED,3.67,1.0,Neutral,UAE,English,7/14/2025,True,2,1,1,1,1,2,BestBuy,2
100,Meghan Anthony,35,Motorola,Edge 50,615.46,USD,1.0,1.0,Negative,USA,English,3/19/2024,True,2,1,1,1,1,1,eBay,2
101,Danilo da Luz,18,Google,Pixel 6,541.65,BRL,5.7,4.0,Positive,Brazil,Portuguese,7/26/2023,True,4,4,2,4,5,6,BestBuy,1
102,Victoria Johnson,20,Samsung,Galaxy Z Flip,1357.63,CAD,1.38,3.0,Positive,Canada,English,5/5/2025,True,3,2,3,4,2,6,AliExpress,0
103,Hemani Murthy,31,Realme,Realme Narzo 70,596.84,INR,83.0,2.0,Negative,India,Hindi,8/29/2024,True,4,2,2,1,2,2,eBay,2
104,Kayla Cruz,22,Xiaomi,Poco X6,351.56,CAD,1.38,4.0,Positive,Canada,English,4/4/2025,True,3,4,4,3,2,9,Amazon,1
105,Andrew Graham,35,Apple,iPhone SE,1353.96,CAD,1.38,4.0,Positive,Canada,English,1/6/2025,True,3,3,2,3,2,9,AliExpress,0
106,Kimberly Ball,26,OnePlus,OnePlus Nord 3,676.67,AUD,1.53,5.0,Positive,Australia,English,8/28/2025,True,4,5,5,3,4,4,eBay,1
107,Hans-Christian Losekann B.Sc.,44,OnePlus,OnePlus Nord 3,752.73,EUR,0.93,2.0,Neutral,Germany,German,8/18/2025,True,2,1,1,1,1,4,eBay,2
108,Lisa Alvarado,19,Apple,iPhone 13,1199.12,CAD,1.38,4.0,Positive,Canada,English,5/3/2023,True,3,3,4,3,2,4,eBay,0
109,Jolanthe Jessel,33,Motorola,Razr 40,449.69,EUR,0.93,4.0,Positive,Germany,German,8/22/2025,True,2,4,3,4,4,4,BestBuy,1
110,Eta Rau,18,Samsung,Galaxy Note 20,724.68,INR,83.0,2.0,Neutral,India,Hindi,10/9/2025,True,1,1,1,2,2,4,Amazon,2
111,Julia Clarke-Burton,23,Google,Pixel 7a,637.585,GBP,0.78,3.0,Negative,UK,English,6/1/2024,False,3,3,4,4,3,1,eBay,0
112,Stephanie Gilbert,26,OnePlus,OnePlus Nord 3,682.94,AED,3.67,2.0,Neutral,UAE,English,2/1/2024,True,2,1,1,3,1,1,Amazon,2
113,Roy Torres,37,OnePlus,OnePlus Nord 3,463.17,USD,1.0,5.0,Positive,USA,English,9/13/2023,True,5,4,3,5,4,5,AliExpress,1
114,Miss Joan Williams,30,Realme,Realme 12 Pro,515.46,GBP,0.78,4.0,Positive,UK,English,9/5/2025,True,4,5,4,4,5,4,Flipkart,1
115,John Santana,31,Apple,iPhone 15 Pro,1045.66,CAD,1.38,4.0,Positive,Canada,English,7/12/2023,True,3,3,4,3,2,11,eBay,1
116,Antonella da Paz,29,OnePlus,OnePlus 11R,704.27,BRL,5.7,2.0,Negative,Brazil,Portuguese,12/30/2024,True,1,2,2,2,1,4,Amazon,2
117,Lisa Davis,33,Motorola,Edge 50,378.53,CAD,1.38,3.0,Positive,Canada,English,10/21/2023,True,4,3,2,1,2,2,Flipkart,0
118,Dean Wilson,24,Samsung,Galaxy S24,1133.07,GBP,0.78,2.0,Neutral,UK,English,8/27/2023,True,1,2,3,1,1,1,AliExpress,2
119,Aryan Batra,18,Xiaomi,Mi 13 Pro,638.33,INR,83.0,1.0,Negative,India,Hindi,11/6/2023,True,1,1,1,2,2,0,eBay,2
120,Prof. Sigrid Wilmsen B.Sc.,24,Apple,iPhone 13,1195.67,EUR,0.93,3.0,Positive,Germany,German,9/28/2024,True,5,2,3,4,5,7,AliExpress,1
121,Univ.Prof. Leni Gude,39,Samsung,Galaxy A55,458.55,EUR,0.93,5.0,Positive,Germany,German,10/7/2025,True,5,5,3,4,4,6,BestBuy,1
122,Jeannine Kuhl-Henk,26,Google,Pixel 6,752.75,EUR,0.93,1.0,Neutral,Germany,German,6/8/2023,True,1,2,1,2,1,1,BestBuy,2
123,Tim Weitzel,37,Realme,Realme Narzo 70,332.14,EUR,0.93,4.0,Positive,Germany,German,4/5/2023,True,2,4,5,3,3,4,AliExpress,1
124,Colleen Brock,46,Apple,iPhone 15 Pro,1282.35,AUD,1.53,4.0,Positive,Australia,English,10/7/2025,True,3,3,4,3,4,4,Flipkart,1
125,Anika Roht B.A.,27,Realme,Realme 12 Pro,298.52,EUR,0.93,4.0,Positive,Germany,German,4/28/2023,True,3,3,3,5,3,3,Flipkart,1
126,Robert Contreras,32,Xiaomi,Poco X6,405.55,AED,3.67,4.0,Positive,UAE,English,3/8/2025,False,4,4,4,3,3,5,eBay,1
127,Tiffany Vance,33,Realme,Realme Narzo 70,417.44,USD,1.0,4.0,Positive,USA,English,5/30/2025,True,3,3,3,3,4,5,BestBuy,0
128,Dr Henry Williams,29,Realme,Realme 12 Pro,477.29,GBP,0.78,4.0,Positive,UK,English,6/26/2023,True,3,2,3,3,5,4,BestBuy,0
129,Shivani Lad,22,Realme,Realme Narzo 70,518.69,INR,83.0,3.0,Positive,India,Hindi,11/10/2023,True,2,2,3,4,3,6,BestBuy,0
130,Vedhika Khare,30,Apple,iPhone 15 Pro,752.16,INR,83.0,3.0,Positive,India,Hindi,12/22/2023,True,4,3,3,5,4,7,Flipkart,1
131,Micheal Young,28,Google,Pixel 7a,880.75,AED,3.67,3.0,Neutral,UAE,English,3/26/2024,True,1,3,3,3,3,3,AliExpress,0
132,Joshua Taylor,32,Samsung,Galaxy Note 20,602.02,AED,3.67,4.0,Positive,UAE,English,10/16/2023,True,4,3,2,3,4,10,AliExpress,1
133,Ms Lindsey Stevens,55,Motorola,Edge 50,297.34,GBP,0.78,5.0,Positive,UK,English,7/27/2024,True,5,5,5,4,5,7,Amazon,1
134,Joshua Perry,20,Samsung,Galaxy S24,894.21,AED,3.67,1.0,Negative,UAE,English,9/8/2023,True,1,1,1,1,1,1,BestBuy,2
135,Dipl.-Ing. Theda Winkler,45,Google,Pixel 6,770.21,EUR,0.93,3.0,Neutral,Germany,German,4/16/2025,False,3,2,3,2,2,3,Flipkart,0
136,Mark Baxter-Miller,35,Xiaomi,Poco X6,287.44,GBP,0.78,2.0,Negative,UK,English,6/3/2024,False,1,2,1,2,3,1,AliExpress,2
137,Tommy Evans,31,Realme,Realme 12 Pro,193.94,USD,1.0,4.0,Positive,USA,English,6/18/2024,True,4,4,4,5,4,6,AliExpress,1
138,Prof. Nelli Wähner,28,OnePlus,OnePlus 12,597.26,EUR,0.93,3.0,Negative,Germany,German,2/16/2025,False,1,1,1,1,1,3,eBay,2
139,Stephanie Freeman,24,Google,Pixel 7a,1077.69,AUD,1.53,3.0,Neutral,Australia,English,12/19/2023,True,3,2,3,2,2,1,eBay,0
140,Allen Rogers,18,Xiaomi,Mi 13 Pro,434.38,CAD,1.38,4.0,Positive,Canada,English,9/11/2025,True,4,5,3,4,4,4,eBay,1
141,Misty Pittman,41,Apple,iPhone SE,1335.66,AED,3.67,4.0,Positive,UAE,English,5/8/2023,False,3,4,4,4,4,7,Flipkart,1
142,Vincent Payne,46,Xiaomi,Redmi Note 13,503.54,GBP,0.78,3.0,Neutral,UK,English,6/25/2024,True,3,3,1,2,2,4,Amazon,0
143,Mary Miller,28,Motorola,Moto G Power,637.585,USD,1.0,2.0,Neutral,USA,English,8/17/2024,True,1,1,1,1,2,1,Flipkart,2
144,Kate Clayton,40,Xiaomi,Poco X6,458.29,GBP,0.78,3.0,Positive,UK,English,11/30/2023,True,2,3,5,3,2,3,BestBuy,0
145,Lunna Cunha,40,OnePlus,OnePlus 11R,574.4,BRL,5.7,3.0,Positive,Brazil,Portuguese,9/27/2024,False,3,3,2,2,4,6,AliExpress,0
146,Philip Gray,46,Xiaomi,Mi 13 Pro,518.2,AED,3.67,4.0,Positive,UAE,English,8/6/2024,True,4,3,3,1,3,3,Flipkart,0
147,Bradley Smith,34,Realme,Realme Narzo 70,213.68,CAD,1.38,4.0,Positive,Canada,English,2/5/2025,False,2,5,3,4,4,5,Amazon,1
148,Willibert Killer,29,Xiaomi,Redmi Note 13,466.98,EUR,0.93,4.0,Positive,Germany,German,10/5/2023,True,3,3,2,3,4,6,Amazon,0
149,Rachael Pearson,19,OnePlus,OnePlus Nord 3,629.46,AUD,1.53,2.0,Neutral,Australia,English,12/9/2022,True,1,3,2,2,1,2,eBay,2
150,Caroline Bryant,19,Google,Pixel 6,923.35,GBP,0.78,2.0,Neutral,UK,English,6/13/2025,True,1,1,1,1,2,1,eBay,2
151,Cameron Caldwell,27,Google,Pixel 6,887.49,CAD,1.38,2.0,Neutral,Canada,English,3/16/2025,True,1,1,2,3,1,3,eBay,2
152,Julie Scott,35,Realme,Realme Narzo 70,383.95,AED,3.67,4.0,Positive,UAE,English,5/17/2024,False,4,3,3,3,3,1,eBay,0
153,Katy Jenkins,27,OnePlus,OnePlus 11R,841.54,GBP,0.78,4.0,Positive,UK,English,4/17/2023,False,4,3,5,4,3,4,AliExpress,1
154,Leonardo Caldeira,27,OnePlus,OnePlus 11R,702.11,BRL,5.7,3.0,Neutral,Brazil,Portuguese,4/7/2025,False,4,1,2,1,2,3,Flipkart,0
155,Eric Byrd,53,Xiaomi,Mi 13 Pro,269.6,USD,1.0,4.0,Positive,USA,English,5/27/2024,True,4,4,5,5,3,3,AliExpress,1
156,Veronika Trubin-Gumprich,32,OnePlus,OnePlus 11R,976.62,EUR,0.93,1.0,Positive,Germany,German,2/17/2023,True,2,1,1,1,1,2,AliExpress,2
157,Harsh Mitra,29,Motorola,Razr 40,477.61,INR,83.0,2.0,Negative,India,Hindi,9/18/2025,False,1,3,1,1,1,3,BestBuy,2
158,Barbara Riggs,35,Motorola,Edge 50,788.44,AUD,1.53,5.0,Positive,Australia,English,12/24/2022,True,5,5,5,4,4,7,Flipkart,1
159,Priya Prabhakar,26,Realme,Realme 12 Pro,443.17,INR,83.0,1.0,Negative,India,Hindi,2/6/2023,True,2,1,1,1,1,2,BestBuy,2
160,Gloria Atkinson,24,Realme,Realme 12 Pro,582.13,USD,1.0,3.0,Positive,USA,English,11/21/2024,True,3,3,3,3,2,7,Flipkart,0
161,Tyler Reid,24,Samsung,Galaxy A55,807.54,AUD,1.53,4.0,Positive,Australia,English,10/5/2024,False,4,3,4,4,3,4,BestBuy,1
162,Heinz-Joachim Gierschner-Wagner,22,Motorola,Moto G Power,441.72,EUR,0.93,4.0,Positive,Germany,German,1/9/2025,True,3,4,3,3,1,6,Amazon,0
163,Júlia Pimenta,18,Samsung,Galaxy A55,1288.66,BRL,5.7,5.0,Positive,Brazil,Portuguese,2/4/2025,True,4,5,3,5,5,6,eBay,1
164,Julie Petersen,24,Apple,iPhone SE,927.42,USD,1.0,4.0,Positive,USA,English,4/29/2025,True,4,3,5,4,3,3,eBay,1
165,Samuel Rivas,21,Google,Pixel 7a,1003.6,AUD,1.53,5.0,Positive,Australia,English,3/5/2023,True,4,4,3,4,4,7,AliExpress,1
166,Jerry Christensen,44,Google,Pixel 7a,796.29,CAD,1.38,3.0,Positive,Canada,English,3/25/2025,False,5,5,5,5,5,4,BestBuy,1
167,Jamie Johnson,30,Realme,Realme Narzo 70,331.22,USD,1.0,1.0,Negative,USA,English,3/9/2024,False,1,1,1,1,2,2,BestBuy,2
168,Daniel Salinas,36,Xiaomi,Redmi Note 13,436.14,USD,1.0,1.0,Negative,USA,English,4/2/2024,True,1,1,1,1,1,3,BestBuy,2
